"id","kind","source_section","target_sprint","summary","primary_verification"
"BO-01","business_objective","4.1","MVP","Shared machine-performance view for production and energy managers","Dashboard acceptance"
"BO-02","business_objective","4.1","MVP","Identify abnormal energy per machine and produced unit","Anomaly fixture"
"BO-03","business_objective","4.1","MVP","Reveal recurring downtime and scrap patterns","Pareto and anomaly tests"
"BO-04","business_objective","4.1","MVP","Support maintenance prioritization","Ticket workflow acceptance"
"BO-05","business_objective","4.1","MVP","Produce a management-ready monthly report","Generated PDF acceptance"
"S-01","scope","6.1","1","Authentication and users","Identity integration tests"
"S-02","scope","6.1","1","Master data","Master-data API and UI tests"
"S-03","scope","6.1","2","CSV import","Four import acceptance scenarios"
"S-04","scope","6.1","3","Production monitoring","Production KPI tests"
"S-05","scope","6.1","3","Energy monitoring","Energy KPI tests"
"S-06","scope","6.1","3","Scrap and downtime","Pareto and rate tests"
"S-07","scope","6.1","4","Deterministic analytics","Detector fixture tests"
"S-08","scope","6.1","4","Maintenance tickets","Ticket lifecycle tests"
"S-09","scope","6.1","3","Dashboard","Dashboard API and E2E"
"S-10","scope","6.1","5","Reports","PDF and CSV tests"
"S-11","scope","6.1","1","Audit logging","Audit integration tests"
"S-12","scope","6.1","4","Admin settings","Admin API and UI tests"
"OOS-01","out_of_scope","7","all","Direct PLC SCADA HMI or machine-control integration","Architecture and dependency review"
"OOS-02","out_of_scope","7","all","OPC UA MQTT Modbus or gateway ingestion","Architecture and dependency review"
"OOS-03","out_of_scope","7","all","Automatic shutdown parameter change or actuation","Safety review"
"OOS-04","out_of_scope","7","all","Certified predictive-maintenance model","Product wording review"
"OOS-05","out_of_scope","7","all","Full MES functionality","Scope review"
"OOS-06","out_of_scope","7","all","ERP write-back","Integration review"
"OOS-07","out_of_scope","7","all","Multi-tenant SaaS","Schema and security review"
"OOS-08","out_of_scope","7","all","Native mobile apps","Repository review"
"OOS-09","out_of_scope","7","all","External generative AI or LLM integration","Dependency and network review"
"OOS-10","out_of_scope","7","all","Python analytics microservice","Repository and runtime review"
"OOS-11","out_of_scope","7","all","Advanced digital twin simulation","Scope review"
"OOS-12","out_of_scope","7","all","Legal compliance certification","UI and report wording review"
"OOS-13","out_of_scope","7","all","High-availability cluster","Deployment review"
"OOS-14","out_of_scope","7","all","Fine-grained ABAC engine","Authorization design review"
"OOS-15","out_of_scope","7","all","Cold-storage data lake or warehouse","Architecture review"
"VAL-01","validation","17.3","0","Bean Validation on API requests","MockMvc invalid-request tests"
"VAL-02","validation","17.3","2","Report at most 500 CSV errors with overflow metadata","Large invalid fixture"
"VAL-03","validation","17.3","2","Convert input offsets to UTC and display Europe Vienna","Timezone integration test"
"VAL-04","validation","17.3","2","Limit comments to 500 plain-text characters","Validation and XSS tests"
"MD-01","master_data","18","1","Admin CRUD and soft delete for factories","API authorization integration"
"MD-02","master_data","18","1","Production lines linked to one factory with scoped unique code","Constraint and API tests"
"MD-03","master_data","18","1","Machines linked to one line with factory-unique code","Constraint and API tests"
"MD-04","master_data","18","1","Products with code name and optional family","Unknown-product import test"
"MD-05","master_data","18","1","Shifts with times and planned minutes","Availability fixture"
"MD-06","master_data","18","1","Downtime reasons and scrap categories","Unknown-code import tests"
"MD-07","master_data","18","1","Non-admin read-only master data except approved delegation","Authorization matrix"
"MD-08","master_data","18","1","Soft-deleted data remains historical but unusable for new imports","Historical lookup and import tests"
"PRD-01","production","19","2","Store imported production records with traceability","Production import integration"
"PRD-02","production","19","3","Total units for selected date range","Aggregation test"
